status,url,etag,content_length,content_type,last_modified,id
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreenBlindeman1748.html,"""10bf3-5fb43f1b36600-gzip""",16953,text/html,"Tue, 09 May 2023 14:55:20 GMT",BreenBlindeman1748
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BreughelCluchten1610.html,"""227a4-5cd81b218d380-gzip""",33921,text/html,"Mon, 04 Oct 2021 07:16:46 GMT",BreughelCluchten1610
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BrouwerBeleghLeyden1683.html,"""3d4fa-5b92c80ca6280-gzip""",,text/html,"Mon, 18 Jan 2021 13:14:34 GMT",BrouwerBeleghLeyden1683
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BruynbeeckVyaenscheReys1649.html,"""fb98-5b92c80ca6280-gzip""",17666,text/html,"Mon, 18 Jan 2021 13:14:34 GMT",BruynbeeckVyaenscheReys1649
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BruyningenSmul1645.html,"""113a3-5af0a8a288b80-gzip""",18483,text/html,"Fri, 11 Sep 2020 14:31:26 GMT",BruyningenSmul1645
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AvanBulderenMannen1678ca.html,"""1b31a-60aa5f4f76700-gzip""",31031,text/html,"Tue, 21 Nov 2023 09:09:16 GMT",AvanBulderenMannen1678ca
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/HvanBulderenDiensmaegd1675.html,,,,,HvanBulderenDiensmaegd1675
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/HvanBulderenDiensmaegt1716.html,"""832b-5fbfdec1a5680-gzip""",10899,text/html,"Thu, 18 May 2023 20:48:10 GMT",HvanBulderenDiensmaegt1716
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/HvanBulderenDeWit1673ca.html,,,,,HvanBulderenDeWit1673ca
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/BurchoornMeyspel1632.html,"""bdba-5b92c80ca6280-gzip""",16319,text/html,"Mon, 18 Jan 2021 13:14:34 GMT",BurchoornMeyspel1632
